client_identifier,bitcoin_address,credit_card_type
436,1xVt3FxfHQvzXPhXVp6VRSEydUUVzRWK7,laser
450,15wYxjYgszjPnSwa4b3nvkdLfdBMTprQ9y,mastercard
462,13FaRnAGPb53jC6cw4dQF5qM8XTGRWrY6s,americanexpress
467,1HHBi9Yt592V74bU5PihuSGekNhGzNGaAw,solo
482,1477584qcLw6e2TntjCVBXJAwnS5tUTQJb,visa-electron
486,1CUeR37xJkVY9jVoAh9UYJc4c85RpnNcmD,diners-club-enroute
508,1N4UFev4krTiWmC1Sbygy1NdxrJxMDsm6D,switch
513,18zM2XeTncgJJTm14LDhWbMeUE3nvA8NoD,jcb
514,191c14CjzgK9DZGE9viRPMyGDqhc2oR46F,mastercard
529,14TyQs6ta2MhC2erewxosQTjmrvn2P4Gzo,jcb
548,1482bkXGupDD66ypoGjdVuewXr3BaK51fE,switch
577,12EgsYruxuyrwHi6bDC9FXqzGAmuUawHKH,jcb
582,18rq3Gymm7G1gaSLarTBvigCCd1UAmWQP7,mastercard
601,14GghoTqBDngp1V9PjrdPakZnNZi8VZ8F6,jcb
605,1EMUu7w62n5GzRTZ4ZGTUKMwLppUyrD2Pw,visa
616,1H168tEGqoEeeNDaWmNjyEiubqTz3ZdoKG,jcb
621,1MdkbruxnQR61UYstTpKsoqP3fUziVQwei,switch
627,1HBMpsqrFAcMedVt1kUwzvxjtVcExbiAdV,mastercard
628,14EWQTXkWhfiQKkKn5JuD5h3EqzLatXbsQ,jcb
643,1BqmYwtSwbG8qWUJyqn8TQPB4pWXAx3jMa,jcb
656,1PUPePBi6wUMGZomfTqcXojjwYQk7Ha2cu,mastercard
665,12SF66BTEEAYca9V2JFcty3WmsSksTTsSN,jcb
691,1BMrJy7Ac4pAyq8ciBFfGhATAgcHXaPb6P,jcb
701,1Jb4hNfMJy5g4hPtT8kQQ4bbhGdwTbnmjp,jcb
706,1HHENRw3k9UaA8uVEKnT5dc46jaQcHwiLf,visa
711,1HsSjH6FpNqbFRckMitfzzPMvXiKHDDL3p,jcb
726,13LecqUHZxxptc47RXRDcvhDgQHwxqTKVV,solo
733,1MJkvsA6ebFvXFasuJxZvfKNBReLTsA3Kr,jcb
749,17qnQP62quZFAzU7QXFpHjMugPcFyoMXHm,bankcard
751,16pUgN3CTqFCLB2pmBSUjoxyZEreQu4AvB,jcb
755,13MLLGGZBp6y24hg13bFA8org9qwwup2fK,americanexpress
760,1PapZUVtXEaqD14JtSUhhZcPWR61aNK9kS,jcb
766,1MMDugKsUTFEyrTGnoUQrcFCHARHkggVAw,diners-club-enroute
774,1Myco7rqZBPkR5XdyfqkPot9aPPvJvFZS9,switch
781,16kmMSiv2d6K4VEat2VN1ifv3JhotXKMK6,jcb
785,12N2XC2Mxzu6eLd2CTQkS8NKtdYTXvr2kS,switch
788,16DZD1xnSSbwAm1mbLYJSp56d7Z1TEofZD,maestro
798,15tgDNJrxLs78sVijcBeCriRURp24JDqB9,jcb
803,1Croxyx7soHCoDY5Q1ta5Wq9CuY7tK4aGV,mastercard
812,1Mr6usqpuYeS431Vzycq8GpwuMCipdP3mw,jcb
837,1E7ZJuTeuSG8Sj4ocNWMymJLERfD1qDYA7,jcb
845,18UeESWffKqdqg23yfZfZcYAkPVT6cmuD6,laser
848,1CMFYs2K4EyHecdw7Z3oT6a56iVaKG1bM5,visa
862,1GcWp25A1odq7XCoG6HyiCJ2UYDREWrgVP,solo
864,13B25YDx2MSG2sUietvwkxzpov4XpDjqwC,jcb
873,1N75fjtmFdQJmMpacg4oUdt7cWYJXpdKD1,china-unionpay
881,16y7pXoKxg3WrBumhLPq3JoTjhCNtCgEMq,solo
894,1HTBF19dSGssNoC8VWcv3BWbBpi7jYvEZd,switch
910,15Bowgs1P3hPwXvhfLCQEftuDmXG5Rfz71,visa-electron
914,16FJCTiriaZCgyfnWCiJnua1Bka3aBjgrt,jcb
924,1GxYQAdNCqqnxJckfxnMapSaXrD7ktkHFv,diners-club-enroute
928,16J36sqG4rFfabKcwBoxApRuEQUT3T9JPg,china-unionpay
942,1JK5tVtebu1Dd2gAXcTaS1UCB5BMGijuqa,jcb
947,1BJQYwAftZ3UJJpRAERDCcgAkrUZNH6D7g,visa-electron
952,18xzobimRTpaiVjfBajSGaG7JpZeGjzfug,mastercard
954,1MQGXo6xCKnPkRfTyjUyrQ2b4DtxxgoKyG,jcb
964,1HWtSdZgMPTEdzHTAhmnAcFHf3MTasz7zE,diners-club-carte-blanche
966,18Mxz7iRKxcGqUyYprSWBEHPpRc5HPdAKa,bankcard
972,1HkNSAP8Jm58DBiboFDsv916XJCYsfLrdg,jcb
981,19158kwDCddVMpQPUKdLz33yfks1cKbKPE,diners-club-carte-blanche
984,1LCEj6JuVMjBt6wstfNCofLwWgsgm99NMZ,visa-electron
996,1DVbpgQBtf9ouzcCZoWmzLLXRXR56HMQva,jcb
